4973,excellent!
1747,politics
1747,satire
2424,chick flick 212
2424,hanks
2424,ryan
2947,action
2947,bond
3033,spoof
3033,star wars
55247,R
55253,NC-17
50,Kevin Spacey
6709,Johnny Depp
65,buddy comedy
546,strangely compelling
1091,catastrophe
2116,Epic
6373,comedy of manners
49272,product placement
277,classic
724,goth
1249,woman
1267,classic
2105,computer
54775,The Director Should be given a grammy
198,Ralph Fiennes
261,Winona Ryder
1597,Julia Roberts
1597,Mel Gibson
1729,Quinten Tarantino
1747,Robert De Niro
2424,Meg Ryan
2424,Tom Hanks
2947,Bond James Bond
3033,comedy
3033,John Candy
3033,Rick Moranis
353,tissit
4223,want to own
36,death penalty
904,Hitchcock
1219,Alfred Hitchcock
1258,based on a book
1258,Stephen King
2011,time travel
2012,time travel
2028,World War II
2117,George Orwell
2762,twist ending
3087,christmas
3400,dinosaur
3527,Arnold Schwarzenegger
6731,zombies
7360,zombies
7387,zombies
8874,zombies
8910,existentialism
27317,Takashi Miike
32587,comic book
33834,zombies
45081,unintentionally funny
45081,video game
52462,Based on a TV show
54116,Fate
1343,horror
1343,killer
1343,stalker
2080,children
2080,dogs
2080,romantic
4270,egypt
4270,mummy
4447,blonde
4447,dog
4447,funny
5679,horror
5679,scary
6934,hacker
6934,matrix
6934,neo
7147,death
7147,dream
7147,fantasy
7147,life
7147,stories
8622,bush
8622,comedy
8622,government
1717,horror
4270,action
4270,adventure
8622,documentary
8622,USA
7,based on a play
10,franchise
16,based on a book
16,imdb top 250
26,based on a play
28,based on a book
32,biology
32,genetics
36,based on a book
41,based on a play
44,martial arts
47,imdb top 250
50,ensemble cast
62,high school
81,Colorado
97,imdb top 250
98,directorial debut
101,directorial debut
101,texas
105,based on a book
107,based on a book
107,franchise
107,talking animals
116,Oscar (Best Documentary Feature)
145,directorial debut
150,based on a book
160,based on a book
175,directorial debut
193,cult film
193,strippers
208,big budget
220,H.P. Lovecraft
225,based on a book
235,black and white
240,based on a book
240,Dean Koontz
261,based on a book
273,based on a book
288,brutal
288,satire
288,serial killer
292,biology
296,quotable
298,directorial debut
316,Egypt
318,based on a short story
318,directorial debut
319,directorial debut
325,National Lampoon
327,desert
338,virtual reality
349,based on a book
349,CIA
350,based on a book
351,directorial debut
351,jazz
353,rock and roll
364,talking animals
434,colorado
434,mountains
445,parody
454,based on a book
456,directorial debut
456,drugs
456,ghetto
470,imdb bottom 100
475,based on a book
475,true story
480,based on a book
480,biology
480,Michael Crichton
480,scenic
480,science
481,serial killer
485,parody
491,directorial debut
497,based on a play
512,based on a book
512,Robert Heinlein
524,biography
524,college
524,inspirational
524,true story
534,based on a play
534,biography
541,based on a book
541,Philip K. Dick
551,claymation
553,Arizona
565,directorial debut
568,directorial debut
574,directorial debut
574,incest
592,Batman
593,based on a book
602,jazz
602,music
619,imdb bottom 100
628,based on a book
661,claymation
709,based on a book
709,Charles Dickens
762,strippers
764,directorial debut
801,directorial debut
805,based on a book
808,Alaska
810,imdb bottom 100
837,elementary school
880,based on a book
880,H.G. Wells
892,based on a play
897,based on a book
897,Ernest Hemingway
899,black and white
909,black and white
912,black and white
915,based on a play
915,black and white
919,based on a book
919,black and white
920,based on a book
920,black and white
923,black and white
949,based on a book
949,John Steinbeck
968,black and white
971,based on a play
976,based on a book
976,Ernest Hemingway
993,physics
993,science
993,true story
1014,directorial debut
1017,based on a book
1017,island
1017,shipwreck
1028,magic
1031,magic
1032,based on a book
1032,whimsical
1035,Austria
1035,scenic
1036,terrorism
1037,virtual reality
1049,lions
1059,based on a play
1073,based on a book
1073,roald dahl
1085,based on a book
1085,Ernest Hemingway
1089,directorial debut
1089,ensemble cast
1093,rock and roll
1096,based on a book
1099,Charles Dickens
1104,based on a play
1104,New Orleans
1127,aliens
1127,ocean
1127,submarine
1136,directorial debut
1136,holy grail
1136,quotable
1147,Oscar (Best Documentary Feature)
1169,Oscar (Best Documentary Feature)
1175,directorial debut
1178,based on a book
1178,black and white
1185,directorial debut
1189,racism
1193,based on a book
1198,Egypt
1199,satire
1206,based on a book
1206,brutal
1206,rape
1206,satire
1208,based on a book
1213,based on a book
1219,black and white
1219,serial killer
1220,Chicago
1220,music business
1224,based on a play
1224,directorial debut
1225,based on a play
1225,biography
1233,ocean
1237,black and white
1243,based on a play
1250,based on a book
1253,black and white
1256,black and white
1257,directorial debut
1259,based on a book
1265,small town
1267,based on a book
1267,remade
1268,high school
1268,rock and roll
1270,high school
1278,parody
1281,black and white
1284,based on a book
1288,directorial debut
1288,music business
1293,biography
1295,based on a book
1299,directorial debut
1301,far future
1307,jazz
1311,imdb bottom 100
1339,based on a book
1345,based on a book
1358,directorial debut
1358,small town
1370,terrorism
1372,far future
1372,space
1375,far future
1380,directorial debut
1380,rock and roll
1392,directorial debut
1394,Arizona
1396,hackers
1401,racism
1405,directorial debut
1411,based on a play
1412,directorial debut
1419,Australia
1454,based on a play
1461,Las Vegas
1483,based on a book
1484,directorial debut
1487,biography
1487,music business
1487,true story
1527,parody
1572,based on a book
1584,astronomy
1584,based on a book
1584,inspirational
1584,science
1584,space
1610,based on a book
1616,directorial debut
1620,based on a book
1653,biology
1653,directorial debut
1655,based on a book
1655,Dean Koontz
1672,based on a book
1673,movie business
1673,pornography
1676,based on a book
1676,military
1676,Robert Heinlein
1678,based on a book
1679,imdb bottom 100
1704,college
1704,school drama
1713,directorial debut
1719,based on a book
1719,small town
1721,ocean
1722,franchise
1726,based on a book
1735,based on a book
1748,nocturnal
1754,religion
1769,directorial debut
1770,based on a book
1770,jazz
1770,Nudity (Full Frontal - Brief)
1770,Nudity (Topless)
1772,sequel
1779,based on a book
1797,mountain climbing
1797,mountains
1804,trains
1831,space
1876,science
1876,space
1884,based on a book
1892,based on a play
1914,directorial debut
1916,directorial debut
1917,big budget
1917,unrealistic
1918,big budget
1921,directorial debut
1921,mental illness
1927,based on a book
1930,based on a play
1930,Noel Coward
1941,based on a play
1941,Shakespeare
1947,New York City
1961,mental illness
1997,based on a book
2010,black and white
2012,steampunk
2013,ocean
2013,shipwreck
2014,Child as Adult
2019,black and white
2021,based on a book
2021,Frank Herbert
2022,based on a book
2022,religion
2047,based on a book
2047,Upton Sinclair
2048,directorial debut
2064,directorial debut
2067,based on a book
2071,based on a book
2081,mermaid
2081,ocean
2081,talking animals
2083,based on a book
2083,Charles Dickens
2083,Christmas
2083,franchise
2083,talking animals
2085,directorial debut
2087,based on a book
2087,J.M. Barrie
2097,based on a book
2097,Ray Bradbury
2104,based on a book
2104,S.E. Hinton
2105,cyberpunk
2105,video game
2114,based on a book
2116,based on a book
2117,based on a book
2117,subversive
2118,based on a book
2120,based on a book
2124,directorial debut
2132,based on a play
2132,directorial debut
2137,E.B. White
2138,directorial debut
2138,talking animals
2139,based on a book
2139,directorial debut
2139,talking animals
2144,directorial debut
2160,based on a book
2161,based on a book
2163,parody
2174,claymation
2186,black and white
2191,based on a book
2202,John Steinbeck
2225,based on a play
2225,Noel Coward
2225,remade
2229,based on a book
2229,directorial debut
2232,directorial debut
2232,psychology
2243,television
2248,directorial debut
2253,satire
2262,directorial debut
2291,surreal
2294,talking animals
2297,based on a book
2297,surreal
2300,directorial debut
2312,deafness
2321,1950s
2321,1950s housewives
2321,directorial debut
2321,satire
2321,surreal
2323,directorial debut
2325,Mormon
2325,satire
2329,brutal
2329,directorial debut
2344,trains
2347,based on a book
2347,New York City
2355,talking animals
2362,directorial debut
2378,police
2387,directorial debut
2394,based on a book
2394,Christianity
2394,religion
2395,deadpan
2423,Christmas
2425,ireland
2427,based on a book
2427,ensemble cast
2427,remake
2427,World War II
2467,based on a book
2468,directorial debut
2488,serial killer
2494,Oscar (Best Documentary Feature)
2502,satire
2517,based on a book
2528,utopia
2529,based on a book
2529,far future
2542,directorial debut
2551,based on a book
2553,black and white
2555,imdb bottom 100
2557,directorial debut
2560,cannibalism
2570,adultery
2571,artificial intelligence
2571,hackers
2571,heroine in tight suit
2571,post apocalyptic
2579,directorial debut
2590,road trip
2599,black comedy
2599,high school
2617,archaeology
2622,based on a play
2640,big budget
2648,based on a book
2661,Ray Bradbury
2662,based on a book
2662,black and white
2662,H.G. Wells
2677,Cuba
2681,Star Trek
2690,based on a play
2701,big budget
2702,serial killer
2709,franchise
2709,talking animals
2710,directorial debut
2716,New York City
2725,twins
2726,black and white
2731,directorial debut
2745,Christianity
2745,religion
2745,slavery
2750,nostalgic
2761,based on a book
2761,directorial debut
2795,road trip
2804,based on a book
2819,based on a book
2820,based on a play
2820,Shakespeare
2821,based on a play
2821,J.M. Barrie
2824,boxing
2826,big budget
2848,based on a play
2850,directorial debut
2858,directorial debut
2863,rock and roll
2872,Holy Grail
2872,medieval
2887,imdb bottom 100
2889,Alaska
2898,based on a book
2898,Stephen King
2908,homophobia
2908,lesbian
2908,rape
2908,true story
2917,directorial debut
2927,based on a play
2927,Noel Coward
2937,black and white
2947,franchise
2950,based on a book
2952,directorial debut
2959,based on a book
2959,Chuck Palahniuk
2965,based on a book
2972,directorial debut
2993,franchise
2997,black comedy
2997,directorial debut
2997,puppets
3000,Neil Gaiman
3003,trains
3005,based on a book
3015,based on a book
3022,black and white
3022,trains
3028,based on a play
3033,space
3037,black and white
3039,New York City
3043,imdb bottom 100
3046,Nudity (Topless)
3052,Catholicism
3052,Christianity
3052,irreverent
3060,rhythm & blues
3075,black and white
3075,rape
3079,based on a book
3082,big budget
3082,franchise
3087,Christmas
3087,New York City
3087,parody
3087,television
3095,based on a book
3095,John Steinbeck
3105,based on a book
3108,mental illness
3114,toys
3129,jazz
3147,prison
3156,Isaac Asimov
3157,based on a book
