17393,27660,4.5
17393,34405,4
17395,150,5
17395,153,2
17395,161,3
17395,208,2
17395,231,1
17395,288,1
17395,292,3
17395,296,2
17395,300,4
17395,316,3
17395,318,4
17395,339,5
17395,349,3
17395,380,1
17395,434,2
17395,457,3
17395,588,3
17395,590,5
17395,592,3
17395,593,4
17395,595,4
17396,1,5
17396,5,3
17396,6,3
17396,14,3
17396,17,4
17396,25,4
17396,32,3
17396,36,4
17396,58,3
17396,85,3
17396,86,4
17396,92,3
17396,95,3
17396,141,3
17396,376,3
17396,608,4
17396,628,3
17396,647,3
17396,653,3
17396,661,3
17396,707,4
17396,733,5
17396,736,4
17396,761,3
17396,778,5
17396,780,3
17396,783,4
17396,802,3
17396,805,4
17396,858,5
17396,1073,5
17396,1183,4
17396,1233,5
17396,1393,4
17396,1483,5
17396,1484,5
17396,1487,5
17396,1488,5
17397,1,5
17397,11,5
17397,17,4
17397,34,4
17397,36,4
17397,39,5
17397,45,3
17397,50,4
17397,62,5
17397,87,3
17397,110,5
17397,126,3
17397,150,5
17397,161,4
17397,186,3
17397,207,4
17397,222,4
17397,223,4
17397,235,3
17397,241,3
17397,249,4
17397,261,5
17397,262,5
17397,271,4
17397,280,3
17397,293,4
17397,296,5
17397,300,4
17397,316,4
17397,318,5
17397,349,5
17397,356,5
17397,362,5
17397,364,5
17397,367,5
17397,377,4
17397,380,5
17397,381,3
17397,408,4
17397,412,4
17397,440,5
17397,448,2
17397,450,4
17397,457,5
17397,471,3
17397,474,5
17397,497,5
17397,508,5
17397,527,5
17397,529,3
17397,531,3
17397,539,5
17397,541,2
17397,551,3
17397,553,3
17397,587,5
17397,588,5
17397,590,5
17397,593,5
17397,594,5
17397,595,5
17397,596,5
17397,597,5
17397,605,4
17397,608,4
17397,616,4
17397,619,4
17397,628,4
17397,631,4
17397,647,4
17397,678,3
17397,691,4
17397,700,3
17397,709,4
17397,733,4
17397,799,5
17397,801,4
17397,805,4
17397,828,5
17397,898,5
17397,900,4
17397,903,4
17397,904,4
17397,909,4
17397,910,5
17397,912,4
17397,914,5
17397,915,3
17397,917,5
17397,918,5
17397,919,5
17397,920,5
17397,923,3
17397,934,4
17397,946,4
17397,951,5
17397,953,5
17397,954,4
17397,986,4
17397,1012,5
17397,1020,5
17397,1022,5
17397,1028,5
17397,1029,5
17397,1032,5
17397,1035,5
17397,1036,5
17397,1047,4
17397,1061,4
17397,1079,4
17397,1080,4
17397,1086,4
17397,1089,4
17397,1090,4
17397,1092,3
17397,1096,4
17397,1097,4
17397,1099,5
17397,1104,3
17397,1136,4
17397,1193,3
17397,1197,5
17397,1198,5
17397,1200,5
17397,1203,5
17397,1206,2
17397,1207,4
17397,1213,4
