11,Star Wars: Episode IV - A New Hope (1977),1977,http://cdn-3.nflximg.com/us/boxshots/large/70053213.jpg
12,Finding Nemo (2003),2003,http://cdn-5.nflximg.com/us/boxshots/large/60027705.jpg
13,Forrest Gump (1994),1994,http://cdn-4.nflximg.com/us/boxshots/large/60000724.jpg
14,American Beauty (1999),1999,http://cdn-7.nflximg.com/us/boxshots/large/60000407.jpg
22,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,http://cdn-7.nflximg.com/us/boxshots/large/60029157.jpg
24,Kill Bill: Vol. 1 (2003),2003,http://cdn-6.nflximg.com/us/boxshots/large/60031236.jpg
38,Eternal Sunshine of the Spotless Mind (2004),2004,http://cdn-5.nflximg.com/us/boxshots/large/60034545.jpg
63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,http://cdn-8.nflximg.com/us/boxshots/large/17672318.jpg
77,Memento (2000),2000,http://cdn-5.nflximg.com/us/boxshots/large/60020435.jpg
85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981,http://cdn-9.nflximg.com/us/boxshots/large/60011649.jpg
98,Gladiator (2000),2000,http://cdn-9.nflximg.com/us/boxshots/large/60000929.jpg
105,Back to the Future (1985),1985,http://cdn-0.nflximg.com/us/boxshots/large/60010110.jpg
107,Snatch (2000),2000,http://cdn-8.nflximg.com/us/boxshots/large/60003388.jpg
114,Pretty Woman (1990),1990,http://cdn-1.nflximg.com/us/boxshots/large/872251.jpg
120,The Lord of the Rings: The Fellowship of the Ring (2001),2001,http://cdn-0.nflximg.com/us/boxshots/large/60004480.jpg
121,The Lord of the Rings: The Two Towers (2002),2002,http://cdn-3.nflximg.com/us/boxshots/large/60004483.jpg
122,The Lord of the Rings: The Return of the King (2003),2003,http://cdn-4.nflximg.com/us/boxshots/large/60004484.jpg
134,O Brother Where Art Thou? (2000),2000,http://cdn-1.nflximg.com/us/boxshots/large/60002991.jpg
141,Donnie Darko (2001),2001,http://cdn-5.nflximg.com/us/boxshots/large/60022315.jpg
146,Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),2000,http://cdn-7.nflximg.com/us/boxshots/large/60002907.jpg
153,Lost in Translation (2003),2003,http://cdn-4.nflximg.com/us/boxshots/large/60031214.jpg
155,The Dark Knight (2008),2008,http://cdn-3.nflximg.com/us/boxshots/large/70079583.jpg
161,Ocean's Eleven (2001),2001,http://cdn-3.nflximg.com/us/boxshots/large/60021783.jpg
180,Minority Report (2002),2002,http://cdn-1.nflximg.com/us/boxshots/large/60023071.jpg
187,Sin City (2005),2005,http://cdn-0.nflximg.com/us/boxshots/large/70021630.jpg
194,Amelie (2001),2001,http://cdn-8.nflximg.com/us/boxshots/large/60022048.jpg
197,Braveheart (1995),1995,http://cdn-0.nflximg.com/us/boxshots/large/60000540.jpg
238,The Godfather (1972),1972,http://cdn-2.nflximg.com/us/boxshots/large/60011152.jpg
243,High Fidelity (2000),2000,http://cdn-6.nflximg.com/us/boxshots/large/60000166.jpg
268,Batman (1989),1989,http://cdn-0.nflximg.com/us/boxshots/large/287290.jpg
272,Batman Begins (2005),2005,http://cdn-2.nflximg.com/us/boxshots/large/70021642.jpg
274,The Silence of the Lambs (1991),1991,http://cdn-7.nflximg.com/us/boxshots/large/14546747.jpg
275,Fargo (1996),1996,http://cdn-7.nflximg.com/us/boxshots/large/493387.jpg
278,The Shawshank Redemption (1994),1994,http://cdn-9.nflximg.com/us/boxshots/large/70005379.jpg
280,Terminator 2: Judgment Day (1991),1991,http://cdn-2.nflximg.com/us/boxshots/large/60028202.jpg
329,Jurassic Park (1993),1993,http://cdn-0.nflximg.com/us/boxshots/large/60002360.jpg
393,Kill Bill: Vol. 2 (2004),2004,http://cdn-3.nflximg.com/us/boxshots/large/60032563.jpg
414,Batman Forever (1995),1995,http://cdn-8.nflximg.com/us/boxshots/large/287348.jpg
424,Schindler's List (1993),1993,http://cdn-9.nflximg.com/us/boxshots/large/60036359.jpg
453,A Beautiful Mind (2001),2001,http://cdn-3.nflximg.com/us/boxshots/large/60021793.jpg
462,Erin Brockovich (2000),2000,http://cdn-5.nflximg.com/us/boxshots/large/60000165.jpg
550,Fight Club (1999),1999,http://cdn-7.nflximg.com/us/boxshots/large/26004747.jpg
557,Spider-Man (2002),2002,http://cdn-1.nflximg.com/us/boxshots/large/60004481.jpg
558,Spider-Man 2 (2004),2004,http://cdn-0.nflximg.com/us/boxshots/large/60036230.jpg
568,Apollo 13 (1995),1995,http://cdn-6.nflximg.com/us/boxshots/large/262866.jpg
581,Dances with Wolves (1990),1990,http://cdn-0.nflximg.com/us/boxshots/large/60028940.jpg
585,Monsters Inc. (2001),2001,http://cdn-9.nflximg.com/us/boxshots/large/60004479.jpg
597,Titanic (1997),1997,http://cdn-1.nflximg.com/us/boxshots/large/1181461.jpg
601,E.T. the Extra-Terrestrial (1982),1982,http://cdn-8.nflximg.com/us/boxshots/large/60022398.jpg
602,Independence Day (a.k.a. ID4) (1996),1996,http://cdn-3.nflximg.com/us/boxshots/large/60000363.jpg
603,The Matrix (1999),1999,http://cdn-7.nflximg.com/us/boxshots/large/20557937.jpg
604,The Matrix Reloaded (2003),2003,http://cdn-5.nflximg.com/us/boxshots/large/60027695.jpg
607,Men in Black (a.k.a. MIB) (1997),1997,http://cdn-0.nflximg.com/us/boxshots/large/60001650.jpg
629,The Usual Suspects (1995),1995,http://cdn-9.nflximg.com/us/boxshots/large/1084379.jpg
640,Catch Me If You Can (2002),2002,http://cdn-2.nflximg.com/us/boxshots/large/60024942.jpg
641,Requiem for a Dream (2000),2000,http://cdn-4.nflximg.com/us/boxshots/large/60001134.jpg
664,Twister (1996),1996,http://cdn-5.nflximg.com/us/boxshots/large/1072385.jpg
671,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),2001,http://cdn-8.nflximg.com/us/boxshots/large/60004478.jpg
672,Harry Potter and the Chamber of Secrets (2002),2002,http://cdn-5.nflximg.com/us/boxshots/large/60024925.jpg
680,Pulp Fiction (1994),1994,http://cdn-0.nflximg.com/us/boxshots/large/880640.jpg
745,The Sixth Sense (1999),1999,http://cdn-8.nflximg.com/us/boxshots/large/26797528.jpg
752,V for Vendetta (2006),2006,http://cdn-5.nflximg.com/us/boxshots/large/70039175.jpg
786,Almost Famous (2000),2000,http://cdn-5.nflximg.com/us/boxshots/large/60002325.jpg
788,Mrs. Doubtfire (1993),1993,http://cdn-8.nflximg.com/us/boxshots/large/779488.jpg
